Item_Id,Order_Id_Order_Id,Order_No,Item_No,Qty,Product_Id_Product_Id
01J0R0VMK2VBE6QDGBS2ZR48VN,01J0R0N5398D9E98G46AEA8S0P,44,47,52,01J0R16V61DBK4019MXKFJTCB2
01J0R0VMK3EN3KEYC0TB2FMP3H,01J0R0N53A8CS0FWQD8HFZ90NA,37,14,94,01J0R16V6229ZH1JXB92M7HABQ
01J0R0VMK48QMZZZ1S0SPVQRDC,01J0R0N53CXAH2TW6BG3Y5TT09,46,74,31,01J0R16V63111VSKMRV2RAGD0Z
01J0R0VMK5NT8Z65RRSGRBXXMG,01J0R0N53DZZYP1YPPRHEZ9M5Q,43,84,62,01J0R16V63NXTNBB9N72K0V46K
01J0R0VMK69FFAA267SWMGP5MT,01J0R0N53E0WZRVV28R876AQBY,70,78,30,01J0R16V648SY4PF294X84GQB5
01J0R0VMK7KDPCFF455WT509ZK,01J0R0N53FXAXJ7GZW08R5GFE8,21,44,51,01J0R16V65NQCWH5YA136G5E2S
01J0R0VMK872725SHFZ2T7HFQY,01J0R0N53GRJDB6EMZVXTEG5FS,53,69,22,01J0R16V656A4V1NK867RP8PS4
01J0R0VMK99Q12CDGCPK7RWREE,01J0R0N53H24J8TFFD4Z6NAWKT,63,80,90,01J0R16V66D471Y4YC4EZBWGZG
01J0R0VMKA1RECAWBDZHHAMKBH,01J0R0N53JEMM1A85SMY4PRWFX,77,18,41,01J0R16V67BAAK0H5G79BMRMND
01J0R0VMKB38AY3Z5ET1R2NTMR,01J0R0N53M2TF35T86BHVAM2QP,22,80,33,01J0R16V68YCPGAMR3A2QRDQGR
01J0R0VMKCATBZWP7W9X7YC0PD,01J0R0N53NS7VPM2JJWG110F1A,2,8,4,01J0R16V6983AK9K6KXE6K04DR
01J0R0VMKDXNTSBY8A6NNA60CS,01J0R0N53P8T4VQ448QVKDDZPX,77,73,42,01J0R16V69VCQX4K8G4PT2PCGS
01J0R0VMKENAEF85P5FMDC13VY,01J0R0N53P1SRYTB1E4N2KZVPR,35,35,3,01J0R16V6ACBFEMK62CDASQYX2
01J0R0VMKF38NZT1998GW3F5S7,01J0R0N53Q47EZACBJ0XHYP1E8,92,9,35,01J0R16V6ABRXQE7TFQ0209MGY
01J0R0VMKG07YAJNSJRRQ4APZA,01J0R0N53RAY3Z83Q9M92CR3M9,22,1,62,01J0R16V6BC6WA2191FGTGMQKB
01J0R0VMKH74XXR0346NGN49ZK,01J0R0N53RSW7TNKJXCZAKYGX9,9,64,95,01J0R16V6B9QE4Q9PAMPS65BRA
01J0R0VMKJ04YHDBC9P8H3CGQ8,01J0R0N53SG6RV0A39T4E4FVDH,41,95,43,01J0R16V6CBQJZRNH9F2KA3T5Y
01J0R0VMKM0S9G49575J8GQE2Q,01J0R0N53T9YY3GJA62CR3V0ST,69,55,36,01J0R16V6C9BZBCRAG5KGKXTEE
01J0R0VMKNMSDB668METY9A4SJ,01J0R0N53TEMSXESYREYC2CK3W,14,52,3,01J0R16V6DZS91A6GXGPSM4Z87
01J0R0VMKPETX80FJR0TK2Z08P,01J0R0N53VGKGPQWHH0QS1HBEW,88,74,54,01J0R16V6E6G7DSBKWJ9J49GJ0
01J0R0VMKQV8J4DSJWT8BKPVM4,01J0R0N53WYGB71YPDN3FHBF0H,36,45,36,01J0R16V6EMKHS2Z15C7Z1JH83
01J0R0VMKRDGYBA2JGCNQV0R2P,01J0R0N53W55AYJJYDKHKJB38B,17,90,66,01J0R16V6FJKADK3WHT55SCNS3
01J0R0VMKSHHFC5PQKR54AQAPW,01J0R0N53X437NBRG9MN5QJWV1,14,73,68,01J0R16V6FJ61ZZZAC04761ETQ
01J0R0VMKT7B0G7EST0GTX1TGQ,01J0R0N53Y14Y1R9SYX10ENRG0,40,18,31,01J0R16V6GKGCJ8B65GJJGWZNW
01J0R0VMKVSZ4N2BCN6VMA23K1,01J0R0N53YKPKC9Q8J1AZAMN4V,9,66,6,01J0R16V6HBRCXKCRR5RF6DXKH
01J0R0VMKWR1XJ7EBEBZ1HCHBH,01J0R0N53Z6XK8V1NZDFRAPT2Q,68,87,48,01J0R16V6JJ5YYBGTGRC3C43JX
01J0R0VMKX15KN6G232533F2V7,01J0R0N540M5PY5Z8SQPV7R05P,88,89,97,01J0R16V6K3SHCARPGV5TNJ7HG
01J0R0VMKYTQ1ANFZXFVWH2YHS,01J0R0N5401123AKQJBMGD3NZ5,45,49,17,01J0R16V6KE08P9SZN7ACREV6D
01J0R0VMKZDZNX883W976N0X0T,01J0R0N541GZWAMG8ZNYATXQ9Z,94,73,17,01J0R16V6MD5E62NMSFFF2N8H9
01J0R0VMM09RETAW1EJSQTD4R6,01J0R0N542F8AJ5JKG96YTTYXR,94,62,12,01J0R16V6NK3D7NQA225XGHJ56
01J0R0VMM1DJ95TWAVYDFXZ5JZ,01J0R0N542CB3GH87JZ09PVKKZ,92,78,53,01J0R16V6NS48BGZ546B7YFN07
01J0R0VMM2VWKDXBNJP4XWF2R2,01J0R0N54363XXQJFBBFTWRY3S,73,36,19,01J0R16V6P5J7QJJKY1YEZPKN4
01J0R0VMM3G7CTZ92WR1KPJ59B,01J0R0N5441Q2HK1KRTH0D3ABP,2,88,15,01J0R16V6PDMR1Z4B1Z997Q72J
01J0R0VMM4SED8RGDKFW1XVVMG,01J0R0N544J6P3GSYV7N7AC444,80,69,38,01J0R16V6QHW0NVEM3S0EVKS9Q
01J0R0VMM52PE3APN9D86VSWCG,01J0R0N5453HW6Q6DRJAJPENTR,4,80,29,01J0R16V6QJQGTDRQ1BEWH4Y0V
01J0R0VMM60NKPVRBYHC1A0MGV,01J0R0N546WC9VWJJ7WXQGTF43,75,64,55,01J0R16V6RFJ5R1Q3R7TR4XTSG
01J0R0VMM7Z3FQZ2VBK232EDFX,01J0R0N546753Z9ZDHT7EE93DN,46,99,2,01J0R16V6SJG57G7RG2E53EXPE
01J0R0VMM8S7ENF0MV7G1H91DP,01J0R0N547FNSCCXWAFXGVXQ12,66,3,7,01J0R16V6STF77MPTMV5GC5VMJ
01J0R0VMM9QRQ8452HHHZ7EXYK,01J0R0N548PZFD0VA2NW460K8F,36,96,4,01J0R16V6TGRY5912XNAQBSV9Y
01J0R0VMMAJV4TMMDQMTX331AF,01J0R0N548WKWYEKMG5EPSGJVQ,27,89,63,01J0R16V6TX0W691X25WE4TZ3T
01J0R0VMMBD00EVY47F5MG8FM8,01J0R0N549T0GMR7NSKQ4MR734,14,2,9,01J0R16V6VPZKCZ36CSWDDADY6
01J0R0VMMCBVXABTHMPZ1YF1HS,01J0R0N54A4G9ZSRKB4QFS271J,48,54,72,01J0R16V6V2QGSRPDJNMPM68PY
01J0R0VMMD1AQEJBK9YS7QBPXN,01J0R0N54ARWB6KNX7PMPBSZRC,21,18,73,01J0R16V6W8T816QC30HZY1TYN
01J0R0VMMEM1DDX72EBGY7KQK3,01J0R0N54BWVS8E6HFB1JHQ0GY,86,19,97,01J0R16V6WG109RR6W45CJNVBT
01J0R0VMMFAFKFQPFFERZAPXT4,01J0R0N54B34800QB6JVW9QZS1,45,69,95,01J0R16V6XJYZ6HH9EMB51CGP6
01J0R0VMMG5VZTX7BEJ2CAF917,01J0R0N54CG447669BG864FJST,90,18,14,01J0R16V6YMYPCC141E621WRTC
01J0R0VMMHNWNXVZ4ZM6S696A1,01J0R0N54DK4EYAKBR0KGMA2Y0,98,98,28,01J0R16V6ZTB18D7A9JPTNNQBH
01J0R0VMMJ0AVTG70EAC6FDW0K,01J0R0N54DVY1EY4QPW6CC264S,100,81,12,01J0R16V6ZE6MB6QMVVM6KD40B
01J0R0VMMKD9JH1PNS1SYFBT66,01J0R0N54EE2V8SVZBDH5ZZC22,29,47,17,01J0R16V709DFVV9DWBV8K2QFN
01J0R0VMMMTXZQNKR88KJHSSH1,01J0R0N54FNYB3RGHD8G6Y6SSH,73,55,67,01J0R16V71GEZ9V5X7A6QSZR0E
01J0R0VMMPEX9YMRFRPERNBYH6,01J0R0N54FF8JKDR81CWHN1XVV,82,34,56,01J0R16V72THW8FD9HSEPYG7XE
01J0R0VMMQJBAJGRTRHAXS0MPG,01J0R0N54GV7AY8KTMWHN52FZN,86,53,13,01J0R16V72XNRRK3Z3V6MMWXVS
01J0R0VMMRN6CMB015CW7FS0MT,01J0R0N54GJXZG02SEWA4BHXJ8,35,51,16,01J0R16V73T021PEV7ENDB40AD
01J0R0VMMSYWTZ4YQCJD4S4GYP,01J0R0N54HZ68CG77GV99GWWEN,27,76,54,01J0R16V73RJJR2VC2E4EECYCE
01J0R0VMMTT14ZDFRXK0SSN1W6,01J0R0N54J8QSY5NW98TG1W5FY,36,82,67,01J0R16V74N0E75KMDA20MG51C
01J0R0VMMVB4D0E1ZBSDBAYA1H,01J0R0N54JAQB5TY0CMKC3C1BQ,62,98,12,01J0R16V74YK5FGZZ4DCMJNRXS
01J0R0VMMW5VFM2DZVC1Q1W9CR,01J0R0N54KW6BR0TEKXDSESJZD,38,88,14,01J0R16V75PTMEVHF8TP3VC4WY
01J0R0VMMXGW44QP1VCCNH2AGC,01J0R0N54MRXSVAF9WY9RP6QDZ,42,71,82,01J0R16V75XYAZDQH7VBX411J2
01J0R0VMMYDF5YFXTKTKN466J6,01J0R0N54M6D8SMZK917421AAS,31,96,11,01J0R16V765HWQDH1PAHF3JBZG
01J0R0VMMZDF1G31QQFA3N20D8,01J0R0N54NJ7BTVT9R4VTVCDDC,18,53,53,01J0R16V76SV4V7NTGSAGNBGEJ
01J0R0VMN012ABBYV82WSDNQ2D,01J0R0N54PK1WQNDQQZP06AC0X,1,22,17,01J0R16V77QY3HB5RCTD7FV7G1
01J0R0VMN139H7529N8KW0ZZXF,01J0R0N54QN3EF44WYHH2X4NTP,89,19,77,01J0R16V77PS9A34FJF648WPAK
01J0R0VMN2M4S56R70PQFHMNQR,01J0R0N54QKAKSRC5NEJ3X37XT,85,75,82,01J0R16V78CAW8Q9791AEJTY30
01J0R0VMN3FM648HEAGCWEXS5Y,01J0R0N54RBCF7DGZ9Z9HEN4YW,1,62,25,01J0R16V79Z0BSX2T9NASV2FE3
01J0R0VMN4FSDDD46VD0XV98K4,01J0R0N54RKD5G8XEKZ01RTEEE,58,35,7,01J0R16V79BBEP167HKK2HSTWF
01J0R0VMN58EGJEAH97KFWH6RG,01J0R0N54S6QF45XDBXEN65CN9,92,9,93,01J0R16V7AKYETXAVSDMA3884A
01J0R0VMN6TR17V8ZSGJHTTMKE,01J0R0N54TEBCN2QXAZ52Y908Q,98,14,16,01J0R16V7AHEB93PQNHMBY2VXH
01J0R0VMN7C2NSHX0JJ20AE4VZ,01J0R0N54V634FY84QVM5S3NVF,98,27,91,01J0R16V7BEG863JHSVDJCYDCB
01J0R0VMN84GQ4F6513DE606KG,01J0R0N54WX09ECCVFDCZCCG3M,74,80,79,01J0R16V7BGWQFCQ369D3RA7HB
01J0R0VMN92VGYP71W7SXCBS3J,01J0R0N54WCDGPWZ4RQ6CXQQR3,49,45,25,01J0R16V7CVTMKAWB2VR5R4WJH
01J0R0VMNA25BNHSMKKZBGHJ1S,01J0R0N54XKFJ41J1YQ3GHWWF7,20,21,22,01J0R16V7CQ05DHN6WQ10QG2AZ
01J0R0VMNBDZ1JTR94M3B2DX8G,01J0R0N54YRYCDVS7EW5CSEQRG,1,68,58,01J0R16V7DKAK11J0WQV5QKYRD
01J0R0VMNCK1TWNP7104X3RTPY,01J0R0N54ZSG5HEN22S30WVAX4,45,1,26,01J0R16V7DYJY6GHV6K7JD7YJ3
01J0R0VMNDS7SQJX9XPX75148B,01J0R0N550YGT8TX1V0WGGM2WQ,91,19,88,01J0R16V7EM050AZM0ZM180ZZY
01J0R0VMNEC80FNQ069PAEV9JB,01J0R0N550WVMATP4P07FXHPQX,74,51,54,01J0R16V7EHE3A4NYDS8680KJ1
01J0R0VMNF2FSCG7D9R7DP449C,01J0R0N551523TW42BZZ1ZGFH2,61,2,12,01J0R16V7F0A7KZXYZ2M1E6VSR
01J0R0VMNG15TW8PA9Q41B7FMP,01J0R0N551GAP65TKXVQCF7FK7,96,51,50,01J0R16V7FXYJD25NEC05ZK817
01J0R0VMNHFPRTE0RD180V6HGZ,01J0R0N552SQRA5DNSVZENV72N,73,78,85,01J0R16V7G2CD0P72Y5Z8TNVKQ
01J0R0VMNJTMAEDJ31C30Y4B5G,01J0R0N5533CC3RZ3JE2JNVPE2,33,12,57,01J0R16V7HHSW5Q797MN0PXHM1
01J0R0VMNKG0463JHD8EC2K5H0,01J0R0N5549M8DTT4A9ZN90GYV,97,86,46,01J0R16V7J516N73RJXHGKBWDM
01J0R0VMNM4PDRH3WQ1X8JP8G0,01J0R0N5549XJKV7GN6T28CQZG,92,44,74,01J0R16V7K2ZRSSCN0CT6Z6E1H
01J0R0VMPGYNDJWBSZA3XJXS2R,01J0R0N5555ZRBTYSEBFZ170V2,68,57,9,01J0R16V7KYX1903YWS97B1SEQ
01J0R0VMPHJM2G2M2MFVATG3KQ,01J0R0N5562YTZTCE8TEH36JXB,75,25,81,01J0R16V7MNZNVGBBGB723BVD7
01J0R0VMPHBDZNZ2A32D6RNXE9,01J0R0N5562SZK37KTHFWBTK56,47,3,82,01J0R16V7MY6V84NRM6NHRKBB3
01J0R0VMPJ5ZECKS8V1EFNVFQV,01J0R0N557NHZAQ9C0373FHTB7,66,46,18,01J0R16V7NB8CVPCK3RWKYCE7H
01J0R0VMPJY0JRW6S863GM7BZ4,01J0R0N558M7TPBKN80FY01WCH,7,92,74,01J0R16V7PA98RCP0F984VGFKQ
01J0R0VMPKVB4ZR5CPX0EN63CD,01J0R0N558D1758FE2B0Q5A36P,54,95,14,01J0R16V7P10PVWH7P3FCVY4XJ
01J0R0VMPMPBTEWDMZ15F9TP0G,01J0R0N559NHZQT205QFB8Z142,64,35,16,01J0R16V7QZNZAZ3PVGQ9RJ40P
01J0R0VMPNX9S0ZTSA8XCCCFJE,01J0R0N55AG5EFC4TSNW0E3GRC,59,20,17,01J0R16V7RJATSNRZMRYGHRT48
01J0R0VMPNXZ7DC7J42JX2MGAR,01J0R0N55ATPFYW9B3YW63F8TX,71,24,72,01J0R16V7RYFB82QJ883MQTS41
01J0R0VMPPAEPN6FHAY2QB0DT0,01J0R0N55BJK6X5BDJ5V7JQH7Y,30,75,74,01J0R16V7S7SB63PEEXF43XF18
01J0R0VMPRH7PG1AW47TQEFS79,01J0R0N55C06AKRSXH45ASXBEH,72,99,10,01J0R16V7SXMG6VSKSM4V744T4
01J0R0VMPT0J42KFJKZ5W3P1DW,01J0R0N55DH605SFK1QGBYFVMA,58,33,51,01J0R16V7T2FHWW17NJT571FRH
01J0R0VMPTNPN9XABW50DG88V8,01J0R0N55DQ147VV6XESWCCPMF,17,57,93,01J0R16V7T2448F2D0NY60ANDX
01J0R0VMPV46EQPFBE8N1FFS07,01J0R0N55E4D3AT6G19PVEYSHF,32,90,28,01J0R16V7WBC4M8K8FDH2KKP4R
01J0R0VMPXAR625VHCC0XDZAE3,01J0R0N55F3XP8DKKZR459P8N8,63,42,77,01J0R16V7WHMN7T70PZK1GYECZ
01J0R0VMPZKGXGNX3JS1H6ZWKZ,01J0R0N55GB8K86TH691H82SW0,88,45,98,01J0R16V7X4WD8G1MJ7X0WX7FR
01J0R0VMQ05J8K1HJ0Q2TBZMYX,01J0R0N55G0309X5VYQR86VYNA,55,48,79,01J0R16V7XNQHAACBMTAS2W40Q
01J0R0VMQ21S6NFA5H4CB81GPT,01J0R0N55HRV1ANW2W64414JCE,9,18,16,01J0R16V7YM8DXHBGHDKFRVVGZ
01J0R0VMQ2W6BKKZKDTV1CBTTG,01J0R0N55JPJXXBWNF3GARKNVE,42,100,78,01J0R16V7YY4GVCWKYDV1DM132
01J0R0VMQ3V0EZFFED1C6NVM09,01J0R0N5398D9E98G46AEA8S0P,52,67,50,01J0R16V808YCR4BSD6SAKT28A
01J0R0VMQ4ZNV46SQ91SMPDG8Y,01J0R0N53A8CS0FWQD8HFZ90NA,57,96,33,01J0R16V816DZ129QB4Y1DTJV5
01J0R0VMQ5JZ5V8X2B74934V62,01J0R0N53CXAH2TW6BG3Y5TT09,40,34,93,01J0R16V829E5EPFCJ7TQ3AYVW
01J0R0VMQ6QVRF2YEBDCEKC6RJ,01J0R0N53DZZYP1YPPRHEZ9M5Q,99,11,93,01J0R16V821HF79QA84C5EZ725
01J0R0VMQ7B01SAFNWXWM08N8P,01J0R0N53E0WZRVV28R876AQBY,33,59,47,01J0R16V832GR1K0Z8EVM63P4R
01J0R0VMQ95SWR56HMPJFRVNJP,01J0R0N53FXAXJ7GZW08R5GFE8,39,90,42,01J0R16V8449HK7Z0GVE32N8T7
01J0R0VMQAKN0GTHAGQ2G9DCM8,01J0R0N53GRJDB6EMZVXTEG5FS,23,75,58,01J0R16V85MQBYGSXTAM5AMEJG
01J0R0VMQCHT8GAX60Q51R3Z2N,01J0R0N53H24J8TFFD4Z6NAWKT,46,49,3,01J0R16V87KBTNX13Q1V2Q07GK
01J0R0VMQES0GK2W3QDM94MEX4,01J0R0N53JEMM1A85SMY4PRWFX,63,6,86,01J0R16V88ME48ESF14JP2FEFT
01J0R0VMQF6B4STY35NZTNAMAA,01J0R0N53M2TF35T86BHVAM2QP,58,56,66,01J0R16V8ARS8PKZW3TN0C0C8J
01J0R0VMQH0QNNQ74ZEZHV87ZE,01J0R0N53NS7VPM2JJWG110F1A,25,59,89,01J0R16V8BM9QZTFMBB8QZ8KKP
01J0R0VMQKBHGZ3FTSKWMANSZ0,01J0R0N53P8T4VQ448QVKDDZPX,73,23,74,01J0R16V8C17XMHX66XCN5JNW2
01J0R0VMQM5GQPHYFKNCKNHBK6,01J0R0N53P1SRYTB1E4N2KZVPR,27,64,63,01J0R16V8DVHJ8P013NEG69GW9
01J0R0VMQPMKK6ASS96FTPH9VJ,01J0R0N53Q47EZACBJ0XHYP1E8,38,34,77,01J0R16V8F2BPY0PMQZ32YMPGP
01J0R0VMQQC7FXD2CDGBJGTN2B,01J0R0N53RAY3Z83Q9M92CR3M9,14,63,95,01J0R16V8G5VC2PG1117Z36MFR
01J0R0VMQR0DX101MBXRAW45KA,01J0R0N53RSW7TNKJXCZAKYGX9,80,5,61,01J0R16V8HHCRRDZKR8Y22TZ4R
01J0R0VMQS7KMC1X76SQ8V0J7Q,01J0R0N53SG6RV0A39T4E4FVDH,81,14,14,01J0R16V8JFT7RCSSESNJQXND3
01J0R0VMQTZ7TDB2QEWTTWABD0,01J0R0N53T9YY3GJA62CR3V0ST,4,94,87,01J0R16V8KBVCT1C29MGA0KR5P
01J0R0VMQWZ23QVY99ER2G2NF4,01J0R0N53TEMSXESYREYC2CK3W,96,93,57,01J0R16V8MF5GMHQAE421VQYGX
01J0R0VMQXAEYHA65P7TQ17H27,01J0R0N53VGKGPQWHH0QS1HBEW,95,91,83,01J0R16V8N5H9HVA0S3Y0FVQWZ
01J0R0VMQYNW9K83YD970RNDXG,01J0R0N53WYGB71YPDN3FHBF0H,81,46,43,01J0R16V8PDRDKMR4M7EQ01HEC
01J0R0VMQZ2YXH5BS59KMTRBNF,01J0R0N53W55AYJJYDKHKJB38B,85,15,81,01J0R16V8QQVFXCRTH1AFXJXS1
01J0R0VMQZ566KFJXSXG5DMS7A,01J0R0N53X437NBRG9MN5QJWV1,1,50,96,01J0R16V8SSRAVAG2K62GP9ZZJ
01J0R0VMR0WDCWT3CSHJF41SAJ,01J0R0N53Y14Y1R9SYX10ENRG0,2,70,80,01J0R16V8T45EV20YNACY6FZYT
01J0R0VMR1KRMVHMWB6TGAHJQF,01J0R0N53YKPKC9Q8J1AZAMN4V,89,27,15,01J0R16V8VPDPR88F97ZRBJE5N
01J0R0VMR1G452EZ26SZZP260S,01J0R0N53Z6XK8V1NZDFRAPT2Q,51,57,72,01J0R16V8VV8MQR7DXF30M9Y1A
01J0R0VMR21TNPFPWE2N770TZ9,01J0R0N540M5PY5Z8SQPV7R05P,28,37,81,01J0R16V8WZH4FYXZ039RQ9EK7
01J0R0VMR3Y482GN03RN29RT25,01J0R0N5401123AKQJBMGD3NZ5,90,91,92,01J0R16V8X93QHTKF6HWM6P40B
01J0R0VMR4895NRSKDW5QPPVEX,01J0R0N541GZWAMG8ZNYATXQ9Z,49,47,65,01J0R16V8YKC6JABWZ0ZZTQ435
01J0R0VMR4W4VJ3FAMKM11ZNVE,01J0R0N542F8AJ5JKG96YTTYXR,76,72,77,01J0R16V8Z013ZCHPSV71T0EQP
01J0R0VMR5MGK5J8N5AJF0GPQZ,01J0R0N542CB3GH87JZ09PVKKZ,65,87,68,01J0R16V900ZR00JYCWG34AD8C
01J0R0VMR6930NKD2NP3X2WFM6,01J0R0N54363XXQJFBBFTWRY3S,98,26,16,01J0R16V91DE290KDXTVXACPYQ
01J0R0VMR67X4M98A2QFKBTA61,01J0R0N5441Q2HK1KRTH0D3ABP,45,59,9,01J0R16V9294BGVNF9GV6CSD0H
01J0R0VMR7A7BSHH3JM7PNW4SY,01J0R0N544J6P3GSYV7N7AC444,81,14,38,01J0R16V92P8BBCNNK89G6DG88
01J0R0VMR8CVTC0D1YMBARA06X,01J0R0N5453HW6Q6DRJAJPENTR,29,18,40,01J0R16V93BTCZSAAZH94HVEQE
01J0R0VMR8WKG9NSCZJWF039TK,01J0R0N546WC9VWJJ7WXQGTF43,98,58,58,01J0R16V93HC7WF5B2PVYC6SQF
01J0R0VMR9AG7ZXEM9YFHA6A5T,01J0R0N546753Z9ZDHT7EE93DN,26,71,79,01J0R16V949XJTEHY30VZ9SR7C
01J0R0VMRAWB4ANJ4CM8X0VKB8,01J0R0N547FNSCCXWAFXGVXQ12,54,46,89,01J0R16V94R9KXVH1JCX6585G6
01J0R0VMRAGJBQ3BMSNGRB5243,01J0R0N548PZFD0VA2NW460K8F,60,68,34,01J0R16V95MCD4ZXSKAXJEJM09
01J0R0VMRBGHQK764EMX9E0VJ4,01J0R0N548WKWYEKMG5EPSGJVQ,56,92,10,01J0R16V955YV6SYX2NK8B60J6
01J0R0VMRCCZ119QPYYB7CDJ41,01J0R0N549T0GMR7NSKQ4MR734,88,35,33,01J0R16V964812T1XGP4P819N2
01J0R0VMRDBZXQGF1JRE11RB8C,01J0R0N54A4G9ZSRKB4QFS271J,56,51,15,01J0R16V96CMWBG4GM2Z36XV3C
01J0R0VMRD5AGGQVRZ0HHR3Z3M,01J0R0N54ARWB6KNX7PMPBSZRC,97,15,14,01J0R16V972CJ994592FH98JPY
01J0R0VMREC2WJPJAM9YET8RB7,01J0R0N54BWVS8E6HFB1JHQ0GY,75,53,86,01J0R16V97GJWVTA5ZVWS3NDTD
01J0R0VMRF5TQVZMZT4W5PKJXX,01J0R0N54B34800QB6JVW9QZS1,53,33,17,01J0R16V98Q8W5EVDRC28XD1G6
01J0R0VMRGFMHNVEYN7T3BNY4Z,01J0R0N54CG447669BG864FJST,45,32,31,01J0R16V98QZ4HVEKYSVMZV04N
01J0R0VMRJ3Q4C5SPT33GESQ8K,01J0R0N54DK4EYAKBR0KGMA2Y0,50,92,36,01J0R16V99D1VNPYP9EP2WPWHH
01J0R0VMRKBW8D64161RNNCHC4,01J0R0N54DVY1EY4QPW6CC264S,72,43,88,01J0R16V996YHYGFC70HDYSYC8
01J0R0VMRMWDJBER8VHQE7K6V5,01J0R0N54EE2V8SVZBDH5ZZC22,99,40,51,01J0R16V9ACBW4TABWYTN1TMJS
